140;01150;01250;Drom;146;19;46.21;5.36;882660;6571646
141;01151;01160;Druillat;823;40;46.06;5.31;879297;6554881
142;01153;01170;Echenevex;997;61;46.31;6.03;933079;6584482
143;01154;01340;Etrez;510;42;46.33;5.18;867683;6583435
144;01155;01230;Evosges;101;8;45.95;5.50;893590;6543096
145;01156;01800;Faramans;482;43;45.90;5.11;864351;6535575
146;01157;01480;Fareins;1545;188;46.01;4.76;836924;6548229
147;01158;01550;Farges;559;39;46.16;5.91;925237;6567517
148;01159;01570;Feillens;2624;176;46.33;4.88;844612;6582842
149;01160;01210;Ferney-voltaire;6408;1341;46.25;6.11;940306;6576984
150;01161;01260;Fitignieu;0;0;45.93;5.66;906862;6540198
151;01162;01350;Flaxieu;53;19;45.81;5.73;911931;6528148
152;01163;01340;Foissiat;1481;37;46.36;5.18;867560;6587876
153;01165;01090;Amareins-francheleins-cesseins;826;61;46.00;5.00;839118;6553833
154;01166;01480;Frans;1549;194;45.98;4.78;837797;6543806
155;01167;01140;Garnerans;484;56;46.20;4.83;841101;6568319
156;01169;01090;Genouilleux;320;78;46.11;4.78;837447;6559349
157;01170;01460;Géovreissiat;455;97;46.20;5.56;898142;6569908
158;01171;01100;Géovreisset;450;129;46.25;5.60;900271;6575534
159;01172;01250;Germagnat;86;9;46.31;5.45;888479;6582934
160;01173;01170;Gex;6615;207;46.33;6.06;936112;6585711
161;01174;01130;Giron;88;9;46.23;5.76;913438;6573759
162;01175;01190;Gorrevod;512;74;46.41;4.95;849749;6592964
163;01176;01260;Le Grand-abergement;96;3;46.03;5.66;906487;6551296
164;01177;01250;Grand-corent;104;15;46.20;5.43;887351;6569567
165;01178;01580;Granges;0;0;46.23;5.50;892641;6573065
166;01179;01290;Grièges;1606;108;46.25;4.85;842513;6573906
167;01180;01220;Grilly;634;85;46.33;6.11;939955;6585862
168;01181;01810;Groissiat;611;97;46.21;5.60;900381;6572204
169;01182;01680;Groslée;286;39;45.71;5.56;899876;6516632
170;01183;01090;Guéreins;995;221;46.10;4.78;837497;6557128
171;01184;01250;Hautecourt-romanèche;588;27;46.00;5.00;886717;6565103
172;01185;01110;Hauteville-lompnes;3895;77;45.96;5.60;901294;6544456
173;01186;01110;Hostias;56;5;45.90;5.53;896126;6536511
174;01187;01260;Hotonnes;268;9;46.00;5.68;907373;6547993
175;01188;01140;Illiat;396;19;46.18;4.88;845009;6566189
176;01189;01200;Injoux-génissiat;940;32;46.00;6.00;914912;6553809
177;01190;01680;Innimond;81;6;45.78;5.56;899659;6523292
178;01191;01430;Izenave;130;10;46.03;5.53;895663;6550940
179;01192;01580;Izernore;1170;56;46.21;5.55;896528;6572078
180;01193;01300;Izieu;161;21;45.65;5.63;904800;6509017
181;01194;01480;Jassans-riottier;4609;958;45.98;4.75;835475;6543754
182;01195;01250;Jasseron;1079;57;46.21;5.33;879578;6571554
183;01196;01340;Jayat;650;40;46.36;5.11;862950;6587750
184;01197;01250;Journans;286;118;46.15;5.33;879807;6563784
185;01198;01800;Joyeux;171;10;45.95;5.10;862653;6541084
186;01199;01640;Jujurieux;1602;104;46.03;5.41;887159;6550673
187;01200;01450;Labalme;120;14;46.10;5.48;891554;6558587
188;01202;01150;Lagnieu;5686;209;45.90;5.35;882177;6536079
189;01203;01290;Laiz;806;78;46.25;4.88;844824;6573960
190;01204;01130;Lalleyriat;191;13;46.15;5.71;909893;6564746
191;01205;01200;Lancrans;815;84;46.13;5.83;918457;6562825
192;01206;01430;Lantenay;235;36;46.05;5.53;895592;6553160
193;01207;01330;Lapeyrouse;207;10;45.98;4.96;852503;6544155
194;01208;01350;Lavours;108;17;45.80;5.76;915113;6526037
195;01209;01200;Léaz;461;40;46.10;5.88;922437;6559635
196;01210;01410;Lélex;232;13;46.30;5.95;927011;6582030
197;01211;01240;Lent;1043;33;46.11;5.20;869871;6560166
198;01212;01560;Lescheroux;527;26;46.40;5.15;865164;6591143
199;01213;01150;Leyment;822;58;45.91;5.30;878237;6538185
200;01214;01450;Leyssard;113;12;46.16;5.46;890538;6566332
201;01216;01680;Lhuis;587;24;45.75;5.53;896660;6519862
202;01217;01260;Lilignod;0;0;45.95;5.68;907561;6542444
203;01218;01260;Lochieu;69;10;45.93;5.71;910734;6540330
204;01219;01680;Lompnas;137;11;45.80;5.51;895705;6525386
205;01221;01260;Lompnieu;97;9;45.96;5.65;905164;6544585
206;01223;01800;Loyes;0;0;45.93;5.23;872782;6539140
207;01224;01360;Loyettes;2256;106;45.76;5.20;870953;6521313
208;01225;01090;Lurcy;199;41;46.06;4.76;836799;6553780
209;01226;01260;Luthézieu;0;0;45.90;5.66;906975;6536868
210;01227;01300;Magnieu;290;47;45.78;5.71;911308;6523682
211;01228;01430;Maillat;623;55;46.13;5.55;896851;6562089
212;01229;01340;Malafretaz;624;68;46.31;5.15;865406;6582262
213;01230;01560;Mantenay-montlin;256;24;46.41;5.08;859730;6593219
214;01231;01570;Manziat;1482;117;46.35;4.90;846097;6585099
215;01232;01851;Marboz;2026;50;46.33;5.25;873066;6583586
216;01233;01680;Marchamp;106;8;45.78;5.55;898106;6523241
217;01234;01300;Marignieu;138;39;45.80;5.71;911232;6525902
218;01235;01240;Marlieux;633;38;46.06;5.06;859981;6554344
219;01236;01340;Marsonnas;728;40;46.33;5.06;859224;6583207
220;01237;01810;Martignat;1003;76;46.21;5.60;900381;6572204
221;01238;01600;Massieux;1782;575;45.91;4.83;841822;6537233
222;01239;01300;Massignieu-de-rives;412;43;45.75;5.76;915308;6520488
223;01240;01580;Matafelon-granges;406;19;46.26;5.56;897889;6577678
224;01241;01370;Meillonnas;1051;59;46.25;5.35;881020;6574930
225;01242;01450;Mérignat;85;27;46.06;5.43;887795;6555137
226;01244;01800;Meximieux;6230;453;45.90;5.20;870551;6535744
227;01245;01250;Bohas-meyriat-rignat;657;28;46.13;5.40;885275;6561726
228;01246;01660;Mézériat;1995;104;46.23;5.03;856433;6572026
229;01247;01170;Mijoux;258;12;46.36;6.00;930562;6589943
230;01248;01390;Mionnay;1103;56;45.90;4.93;849624;6535197
231;01250;01600;Misérieux;1224;165;45.98;4.81;840893;6543876
232;01251;01280;Moëns;0;0;46.26;6.10;938679;6579143
233;01252;01140;Mogneneins;491;57;46.13;4.81;840509;6560529
234;01253;01800;Mollon;0;0;45.95;5.25;874268;6541404
235;01254;01250;Montagnat;1173;85;46.16;5.28;875886;6565891
236;01255;01470;Montagnieu;356;57;45.80;5.46;891824;6525264
237;01257;01200;Montanges;248;18;46.16;5.80;915985;6567182
238;01258;01090;Montceaux;672;67;46.10;4.80;839042;6557163
239;01259;01310;Montcet;420;63;46.20;5.11;863457;6568878
240;01260;01800;Le Montellier;170;11;45.93;5.06;860388;6538802
241;01261;01390;Monthieux;344;32;45.95;4.93;849489;6540748
242;01262;01120;Montluel;5954;148;45.85;5.05;859070;6529881
243;01263;01090;Montmerle-sur-saône;2596;624;46.08;4.76;836774;6554890
244;01264;01310;Montracol;551;38;46.18;5.11;863516;6566658
245;01266;01340;Montrevel-en-bresse;1973;192;46.33;5.13;863838;6583330
246;01268;01300;Murs-et-gélignieux;188;29;45.63;5.66;907988;6506901
247;01269;01460;Nantua;3602;282;46.15;5.61;902179;6564485
248;01270;01580;Napt;0;0;46.20;5.50;892746;6569735
249;01271;01300;Nattages;322;31;45.73;5.76;915386;6518268
250;01272;01400;Neuville-les-dames;1141;43;46.16;5.00;854291;6565306
251;01273;01160;Neuville-sur-ain;1151;58;46.08;5.36;883127;6556106
252;01274;01130;Les Neyrolles;615;65;46.13;5.63;903025;6562291
253;01276;01120;Niévroz;1061;101;45.83;5.06;860679;6527701
254;01277;01230;Nivollet-montgriffon;66;8;45.98;5.43;888103;6545147
255;01278;01200;Ochiaz;0;0;46.11;5.78;914638;6561578
256;01279;01230;Oncieu;68;9;45.95;5.46;891303;6541913
257;01280;01510;Ordonnaz;115;8;45.83;5.53;896375;6528741
258;01281;01210;Ornex;2263;401;46.28;6.10;938636;6580253
259;01282;01430;Outriaz;275;47;46.06;5.55;897066;6555429
260;01283;01100;Oyonnax;23869;663;46.25;5.66;905661;6575713
261;01284;01190;Ozan;408;62;46.38;4.91;847553;6588467
262;01285;01600;Parcieux;784;250;45.91;4.81;841047;6537215
263;01286;01300;Parves;286;52;45.75;5.75;913754;6520433
264;01287;01260;Passin;0;0;45.93;5.70;909185;6540277
265;01288;01630;Péron;1202;46;46.20;5.93;925885;6570875
266;01289;01960;Péronnas;5352;305;46.18;5.20;869685;6566826
267;01290;01800;Pérouges;851;45;45.90;5.18;869001;6535701
268;01291;01540;Perrex;714;64;46.23;4.98;852581;6571928
269;01292;01260;Le Petit-abergement;141;5;46.03;5.65;904941;6551244
270;01293;01430;Peyriat;154;26;46.15;5.51;894465;6564234
271;01295;01140;Peyzieux-sur-saône;245;28;46.11;4.81;840535;6559419
272;01296;01270;Pirajoux;304;23;46.38;5.30;876749;6589247
273;01297;01120;Pizay;433;39;45.88;5.08;861309;6533272
274;01298;01130;Plagne;73;12;46.18;5.73;910549;6568103
275;01299;01330;Le Plantay;344;17;46.01;5.08;860900;6548814
276;01300;01130;Le Poizat;270;15;46.15;5.70;908350;6564693
277;01301;01310;Polliat;2025;101;46.25;5.13;864078;6574449
278;01302;01350;Pollieu;108;29;45.80;5.75;913560;6525982
279;01303;01450;Poncin;1229;62;46.08;5.40;885444;6556176
280;01304;01160;Pont-d'ain;2258;201;46.05;5.33;880135;6552684
281;01305;01190;Pont-de-vaux;1913;254;46.43;4.93;848186;6594037
282;01306;01290;Pont-de-veyle;1421;732;46.26;4.88;844771;6576181
283;01307;01460;Port;773;182;46.16;5.56;898250;6566579
284;01308;01550;Pougny;600;77;46.13;5.95;927716;6563164
285;01309;01250;Pouillat;38;6;46.33;5.43;886907;6583996
286;01310;01300;Prémeyzel;190;25;45.68;5.65;906245;6512398
287;01311;01110;Prémillieu;40;5;45.86;5.56;899334;6533281
288;01312;01370;Pressiat;155;26;46.33;5.38;883062;6583879
289;01313;01280;Prévessin-moëns;3723;308;46.25;6.08;937227;6576863
290;01314;01160;Priay;948;60;46.00;5.28;876431;6547021
291;01316;01510;Pugieu;123;25;45.81;5.65;905723;6527937
292;01317;01250;Ramasse;189;19;46.20;5.35;881185;6569380
293;01318;01390;Rancé;410;43;45.96;4.86;844790;6542856
294;01319;01990;Relevant;327;26;46.08;4.95;850681;6555218
295;01320;01620;Replonges;2687;162;46.30;4.88;844691;6579511
296;01321;01250;Revonnas;438;57;46.16;5.33;879742;6566004
297;01322;01600;Reyrieux;3057;195;45.93;4.81;841021;6538325
298;01323;01190;Reyssouze;709;74;46.43;4.91;847418;6594018
299;01324;01250;Rignat;0;0;46.15;5.36;882893;6563876
300;01325;01800;Rignieux-le-franc;743;49;45.93;5.18;868909;6539032
301;01327;01250;Romanèche;0;0;46.18;5.43;887420;6567347
302;01328;01400;Romans;480;22;46.11;5.03;856747;6559814
303;01329;01510;Rossillon;103;13;45.83;5.60;901806;6528918
304;01330;01260;Ruffieu;144;10;46.00;5.66;906599;6547967
305;01331;01450;St-alban;122;15;46.00;5.00;889237;6558514
306;01332;01380;St-andré-de-bâgé;437;162;46.00;5.00;847769;6579585
307;01333;01390;St-andré-de-corcy;2547;123;46.00;5.00;851120;6537455
308;01334;01290;St-andré-d'huiriat;368;41;46.00;5.00;847985;6570704
309;01335;01240;St-andré-le-bouchoux;171;18;46.00;5.00;860607;6559915
310;01336;01240;St-andré-sur-vieux-jonc;979;40;46.00;5.00;859748;6563225
311;01337;01190;St-bénigne;823;50;46.00;5.00;851257;6594113
312;01338;01300;St-benoît;488;23;46.00;6.00;900726;6514438
313;01340;01300;St-bois;113;12;46.00;6.00;904615;6514566
314;01341;01300;St-champ;143;28;46.00;6.00;912085;6523709
315;01343;01380;St-cyr-sur-menthon;1243;73;46.00;5.00;852470;6576369
316;01344;01000;St-denis-lès-bourg;4145;329;46.00;5.00;869623;6569047
317;01345;01500;St-denis-en-bugey;1780;682;46.00;5.00;880463;6541584
